,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8520,9134594379,86136003,At Benchmark,313,86136,White,NO,NO,NO
8521,9134565341,60480802,Well Below Benchmark,243,60480,White,YES,NO,NO
8522,9134122596,48405888,Well Below Benchmark,269,48405,White,YES,NO,NO
8523,9134142459,89103808,Well Below Benchmark,247,89103,White,YES,NO,NO
8524,9198617698,860408807,Above Benchmark,347,860408,White,NO,NO,NO
8525,9193563782,888408802,Well Below Benchmark,273,888408,White,YES,NO,NO
8526,9199736847,1407807,Well Below Benchmark,261,1407,White,NO,NO,NO
8527,9199598838,783408808,Below Benchmark,287,783408,White,YES,NO,NO
8528,9196814785,86138008,Below Benchmark,285,86138,White,NO,NO,YES
8529,9196683533,820405801,At Benchmark,330,820405,White,NO,NO,NO
8530,9196441913,874406806,At Benchmark,307,874406,White,YES,NO,NO
8531,9195655472,739402808,Well Below Benchmark,275,739407,White,NO,NO,NO
8532,9192793421,820405802,At Benchmark,308,820405,White,NO,NO,YES
8533,9192381484,78407880,At Benchmark,317,78407,White,YES,NO,YES
